,eps,dividend
0,-3.2085561497326203,
1,1.2034220532319393,0.0346
2,1.3333333333333335,0.0364
3,1.2921810699588476,0.023
4,0.9166666666666667,
5,7.2742616033755265,0.0143
6,-2.7407407407407405,
7,,
8,,
9,,0.106400006
10,1.6515151515151516,
11,,
12,,
13,1.1994535519125682,0.0047999998
14,1.226027397260274,0.0092
15,,0.0098
16,1.564885496183206,
17,130.0,
18,0.9067357512953368,0.0301
19,0.719626168224299,0.0343
20,,
21,,
22,,
23,,0.0586
24,,
25,,
26,,
27,0.16835016835016833,
28,,
29,0.46691403834260975,
30,,
31,,0.0573
32,1.1191335740072201,0.023
33,-0.19019944525161803,0.020499999
34,0.7905634333040531,0.0385
35,,
36,-0.4149971379507727,
37,-0.43029259896729777,
38,21.0,0.013300001
39,,0.0571
40,0.19880715705765406,
41,,0.051599998
42,,
43,1.2822647793505413,
44,,
45,,
46,1.17310443490701,
47,,
48,1.4484514212982604,0.0191
49,0.5938697318007663,
50,0.9632513419453783,
51,,
52,,
53,,
54,-8.88888888888889,
55,0.0425531914893617,
56,0.5519244734931009,
57,,
58,2.826086956521739,
59,,0.044699997
60,,
61,1.1192660550458715,0.0431
62,,0.1074
63,-0.6638115631691648,
64,,
65,0.24805102763997164,
66,1.5873684210526315,0.057600003
67,35.909090909090914,
68,-0.1601604788893842,
69,,
70,,
71,,
72,,
73,,
74,2.2195121951219514,
75,0.9383177570093458,
76,0.8266199649737302,0.0062
77,,0.01
78,1.130524152106886,0.0313
79,,
80,0.9501915708812261,0.0068
81,,
82,,0.0738
83,,0.063
84,-0.14423076923076925,
85,,
86,1.4292511180892566,0.0219
87,,
88,1.8289473684210524,
89,0.819252432155658,
90,0.6312684365781711,
91,,0.0327
92,,
93,0.1360863444392304,
94,,
95,0.9518072289156626,
96,0.09423186750428328,
97,,0.0623
98,-3.75,0.0229
99,1.5676043557168784,
100,-0.032556418793932666,
101,-0.7988165680473372,
102,-2.1686746987951806,
103,,
104,2.0016645859342486,
105,,0.0082
106,1.2352352352352352,
107,-0.09411764705882353,
108,,0.036
109,1.2086526336211079,0.0209
110,1.9338677354709417,
111,0.07914293987066884,
112,1.7311007141098254,0.0159
113,,
114,,
115,-0.08894536213468869,
116,,0.0559
117,,
118,,0.0308
119,2.18232044198895,0.0167
120,,0.017
121,0.9090909090909092,
122,4.087719298245615,
123,0.7625649913344887,
124,1.8054162487462388,0.0855
125,,
126,,0.0462
127,0.08064516129032258,
128,,0.0655
129,,
130,,
131,0.4477611940298507,0.039300002
132,,
133,2.08130912810023,0.0064
134,,0.0401
135,1.4190948022503986,0.017
136,,
137,3.846153846153846,
138,2.9769736842105265,
139,,
140,2.344322344322344,
141,,
142,0.23054755043227665,
143,,
144,,0.116000004
145,0.3297442799461642,
146,1.0616883116883116,0.0137
147,,0.0735
148,0.44343806019435794,0.0072000003
149,,0.0422
150,,0.0162
151,6.403100775193798,
152,,0.0493
153,,
154,0.21333333333333335,
155,,0.0150999995
156,-0.6395833333333333,0.0425
157,,0.0376
158,,
159,,0.077199996
160,1.7366412213740459,0.041199997
161,,
162,2.142029657089898,0.0425
163,0.9382804138423118,
164,1.4915587608588756,0.014199999
165,-0.23442732752846618,0.030199999
166,9.62962962962963,
167,2.7083333333333335,
168,-0.03674219228413962,
169,1.658001155401502,
170,0.21961932650073204,
171,1.8964865885908575,0.0585
172,1.7329737019554954,0.0424
173,-0.10784313725490197,
174,1.5,
175,1.1875,
176,0.4733727810650888,
177,4.477611940298507,
178,,0.0199
179,1.6852317642831478,
180,1.6364952932657493,
181,,
182,,
183,,0.052399997
184,0.27817745803357313,0.0099
185,4.2156398104265405,
186,,
187,-2.960848287112561,0.0029
188,5.172185430463576,
189,2.342402123424021,0.066
190,1.1386138613861385,
191,1.576260370134014,0.0117
192,1.349875930521092,0.018099999
193,,
194,0.28492647058823534,
195,,
196,1.1760104302477183,0.0337
197,0.6625991458206223,0.025799999
198,1.6936671575846831,0.0214
199,,0.0382
200,1.2820512820512822,0.044899996
201,,
202,,
203,-0.013140604467805518,
204,25.601503759398494,0.0383
205,,
206,3.9,0.0479
207,0.6117108276087668,
208,1.0477255779269203,0.0358
209,,0.0825
210,0.5781378742103818,
211,,0.0653
212,,
213,0.7127089246294545,
214,-7.672727272727272,0.024500001
215,0.6166718314223737,0.0405
216,1.0266159695817492,
217,,0.082100004
218,,0.0388
219,,
220,,
221,,
222,,
223,1.1373707533234858,0.021
224,,0.104399994
225,1.4134877384196187,0.041300002
226,0.19047619047619047,
227,,
228,0.5095541401273886,
229,,
230,0.20460358056265984,
231,1.154791154791155,0.01
232,0.9897851356111307,0.0023999999
233,,0.0913
234,,
235,,
236,-1.2962962962962965,
237,,
238,0.6780238500851788,0.060399998
239,1.4144041619248902,0.0639
240,,
241,,
242,,
243,-1.4130434782608696,0.13270001
244,2.076923076923077,0.0184
245,0.6585185185185186,
246,,
247,,0.0128
248,,
249,1.053968253968254,
250,,0.025899999
251,0.4577841111506947,
252,,
253,,0.040700004
254,1.3092345078979344,0.0336
255,-0.9121122599704579,
256,,
257,,
258,1.7758784425451095,
259,1.1346655082536925,0.0177
260,1.1014492753623188,0.0342
261,,
262,,
263,1.1523809523809523,0.3
264,-0.4060370781175725,0.0796
265,,
266,,
267,1.6666666666666665,
268,-0.20449897750511248,
269,1.8270799347471454,
270,,
271,1.0467610467610469,
272,,
273,,
274,,
275,0.4975728155339806,
276,,0.055999998
277,0.4520917678812416,
278,2.725050916496945,
279,0.9120102761721258,
280,1.1642335766423357,0.0356
281,0.08341056533827618,
282,1.793939393939394,
283,,0.0776
284,,
285,-10.857142857142856,
286,,0.0023
287,0.008051529790660227,
288,,
289,0.11527377521613834,
290,0.3313253012048193,
291,,
292,2.213740458015267,
293,,0.0242
294,,
295,,
296,0.12919896640826872,
297,,0.0714
298,,
299,,
300,0.055497060629990345,
301,,0.0574
302,0.759075907590759,
303,,
304,9.181380417335474,0.0227
305,0.8921568627450981,0.0279
306,1.6349206349206349,
307,,
308,-0.20000000000000004,
309,,0.075
310,1.1034680424190313,0.0496
311,-1.627260083449235,
312,3.82716049382716,0.015
313,,
314,0.27478818410808337,
315,,
316,,0.0799
317,,
318,,0.1087
319,,0.086899996
