,ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset
0,RPID,-8.333333333,,"[15212000, 12750000, 14872000, 18166000]","[179016000, 194967000, 207070000, 220980000]","[0.08497564463511642, 0.06539568234624321, 0.0718211232916405, 0.08220653452801159]","[12459000, 30079000, 178387000]","[23612000, 62150000, 218124000]"
1,DLX,2.876811594,0.0637,"[585844000, 553089000, 561362000, 683358000]","[601686000, 596440000, 578699000, 574318000]","[0.9736706521341697, 0.9273170813493394, 0.9700414204966658, 1.1898599730462913]","[59740000, 73620000, 123122000, 41231000]","[450046000, 472211000, 506631000, 620473000]"
2,ETB,,0.0777,"[5006077, 5006077, 8814880, 8814880]","[397920969, 397920969, 467677265, 467677265]","[0.012580581044976296, 0.012580581044976296, 0.0188482114904602, 0.0188482114904602]","[1845975, 1029323, 715782, 2053397]","[nan, nan, nan, nan]"
3,MBTCU,,,,,,"[nan, 384505]","[nan, 491705]"
4,GIAC,,,"[2118867, 625306, 55935, nan]","[-5605493, -3940254, -3232778, nan]","[-0.37799833127969296, -0.1586968758866814, -0.0173024562775421, nan]",,
5,NG,0.9375,,"[3458000, 2759000, 2298000, 4383000]","[40876000, 55655000, 68434000, 78282000]","[0.08459731872003132, 0.04957326385769473, 0.033579799514861036, 0.05598988273166245]","[21004000, 67549000, 60906000, 91124000]","[169383000, 150339000, 196386000, 169451000]"
6,GXI.F,1.90625,0.0182,"[1096838000, 995479000, 904835000, 885781000]","[1288600000, 1145869000, 1039928000, 981321000]","[0.8511857830203321, 0.8687546307649479, 0.8700938911155388, 0.9026414394474387]","[80570000, 85831000, 87950000, 114051000]","[571858000, 544835000, 551367000, 657181000]"
7,FRA,,0.08189999,"[9212790, 9212790, 28539941, 28539941]","[439107057, 439107057, 487832957, 487832957]","[0.020980737733850632, 0.020980737733850632, 0.05850351147964773, 0.05850351147964773]","[1243343, 3567244, 1633696]","[nan, nan, nan]"
8,CPK,1.115226337,0.0179,"[328851000, 287291000, 279713000, 376433000]","[814438000, 815701000, 805512000, 774130000]","[0.40377659195666216, 0.35220135809567477, 0.3472487064128157, 0.4862658726570473]","[6089000, 6985000, 3499000, 4976000]","[191537000, 134826000, 136431000, 173135000]"
9,NISN,,,"[88723777, nan, 50808699, nan]","[180626356, 87795170, 87795170, 76842519]","[0.4912006141562198, nan, 0.5787186128804125, nan]","[947588, 3452647, 22135310, 91447620]","[38421753, 43711758, 60399271, 227798028]"
10,NXG.F,,0.0341,"[1460100000, 1460100000, 1208100000, 1208100000]","[940600000, 940600000, 1010000000, 1010000000]","[1.5523070380608122, 1.5523070380608122, 1.196138613861386, 1.196138613861386]","[156300000, 86600000, 608200000, 433000000]","[2032200000, 1955400000, 2288600000, 2407200000]"
11,SCX,,,"[38514000, 41180000, 58956000, 51814000]","[101833000, 102429000, 96273000, 85185000]","[0.37820745730755256, 0.40203458005057163, 0.6123835343242654, 0.6082526266361449]","[15582000, 13458000, 9105000, 14523000]","[119975000, 104098000, 119220000, 133053000]"
12,FULTP,,0.060599998,"[21833737000, 21775098000, 21993614000, 22102974000]","[2278281000, 2278215000, 2376657000, 2519802000]","[9.583425837286972, 9.557964459017256, 9.254012674104846, 8.77171063440699]","[243787000, 517791000, 1847832000, 1638614000]","[nan, nan, nan, nan]"
13,AGO,0.990074442,0.016,"[3997000000, 4192000000, 4732000000, 4602000000]","[4929000000, 5304000000, 5802000000, 6292000000]","[0.8109149928991682, 0.7903469079939668, 0.8155808341951052, 0.731404958677686]","[104000000, 169000000, 162000000, 120000000]","[nan, nan, nan, nan]"
