,ticker,eps,dividend,tcl,tse,stable,total_cash,total_current_asset
0,KMB,-3.20855615,,"[7197000000, 7209000000, 7257000000, 6749000000]","[437000000, 593000000, 705000000, 514000000]","[16.469107551487415, 12.156829679595278, 10.293617021276596, 13.130350194552529]","[539000000, 442000000, 303000000, 270000000]","[5041000000, 5057000000, 5174000000, 5565000000]"
1,SPNS,1.203422053,0.0346,"[143251000, 148787000, nan, 151695000]","[377158000, 382657000, nan, 406548000]","[0.379816946743805, 0.38882602435078933, nan, 0.37312937217745507]","[64628000, 66295000, 152561000, 190243000]","[130011000, 147223000, 267358000, 300345000]"
2,GBCI,1.333333333,0.0364,"[23481955000, 23341529000, 22658658000, 22362105000]","[2772357000, 2896239000, 2934193000, 3177622000]","[8.470032899803309, 8.059255123627574, 7.722279345632684, 7.037371027768564]","[203790000, 330961000, 633142000, 437686000]","[nan, nan, nan, nan]"
3,SBT,1.29218107,0.023,"[1985571000, 2033833000, 2231235000, 2299616000]","[329601000, 335332000, nan, 343627000]","[6.024165582021899, 6.06513246573545, nan, 6.692186586036604]","[53626000, 78844000, 1005518000, 412859000]","[nan, nan, nan, nan]"
4,PUM.F,0.916666667,,"[3066900000, 2680300000, 2238100000, 2164500000]","[2897300000, 2585000000, 2430400000, 2213300000]","[1.058537258827184, 1.0368665377176016, 0.9208772218564846, 0.9779514751728189]","[463700000, 518100000, 655900000, 757500000]","[2192800000, 2481200000, 2613000000, 3489800000]"
5,IMTX,7.274261603,0.0143,"[113994000, 91854000, 95148000, 107120000]","[124941000, 115987000, 24063000, 35161000]","[0.9123826446082551, 0.7919335787631373, 3.9541204338611147, 3.0465572651517308]","[103353000, 207530000, 132994000]","[124000000, 238991000, 152207000]"
6,0MGG.L,-2.740740741,,"[1020700000, 996000000, 927800000, 791000000]","[1651100000, 1547900000, 1303200000, 1328800000]","[0.618193931318515, 0.6434524194069384, 0.711939840392879, 0.5952739313666466]",,
7,LGST,,,"[nan, 259234, 178999, 59375]","[nan, -14046699, -14253697, -14227709]","[nan, -0.018455154481490633, -0.012558075283907046, -0.004173194714623416]",[344581],[791191]
8,SDRB.F,,,"[2681000000, 2630000000, 30594000000, 2616000000]","[5566000000, 6047000000, 6385000000, 6297000000]","[0.4816744520301833, 0.4349264097899785, 4.791542678151918, 0.41543592186755596]","[1175000000, 1435000000, 1804000000, 2083000000]","[nan, nan, nan, nan]"
9,TKNO,,0.106400006,"[12328000, 11865000, 12636000, 7743000]","[111996000, 133467000, 138548000, 143203000]","[0.1100753598342798, 0.08889837937467689, 0.09120304876288363, 0.05407009629686529]","[4144000, 3315000, 87518000]","[15416000, 16414000, 101204000]"
10,EBAC,1.651515152,,"[436513, 528914, 505201, 235001]","[-5068390, -5175536, -6686436, -6235349]","[-0.08612458788688321, -0.10219501902798087, -0.07555609595306079, -0.03768850789266166]",[868280],[916470]
11,MAQCW,,,,,,[475500],[633000]
12,PGC,,,"[5405948000, 5458020000, 5509501000, 5347795000]","[515514000, 520324000, 523426000, 546388000]","[10.48652024969254, 10.489656444830528, 10.52584510513425, 9.787541088018038]","[160672000, 208083000, 653220000, 146804000]","[nan, nan, nan, nan]"
13,SY1.F,1.199453552,0.0048,"[1151391000, 1151391000, 1144565000, 1144565000]","[3591399000, 3591399000, 3187903000, 3187903000]","[0.32059679250342277, 0.32059679250342277, 0.3590338225472983, 0.3590338225472983]","[279595000, 445900000, 725136000, 453808000]","[1835459000, 2096658000, 2299739000, 2329912000]"
14,IEA.F,1.226027397,0.0092,"[1761000000, 1761000000, 1350000000, 1350000000]","[7007400000, 7007400000, 5757800000, 5757800000]","[0.25130576247966435, 0.25130576247966435, 0.23446455243322104, 0.23446455243322104]","[168800000, 195100000, 299400000, 884800000]","[717800000, 722200000, 695200000, 1273200000]"
15,SCPH,,0.0098,"[17176000, 15540000, 14175000, 14846000]","[31110000, 40457000, 49393000, 56470000]","[0.5521054323368692, 0.38411152581753466, 0.28698398558500193, 0.2629006552151585]","[89478000, 72624000, 71819000, 74268000]","[91893000, 75647000, 107826000, 78275000]"
16,EVOP,1.564885496,,"[635950000, 644731000, 622250000, 585125000]","[-912569000, -597276000, -586100000, -662020000]","[-0.6968788113556345, -1.0794523804740188, -1.0616788943866236, -0.8838479200024169]","[350697000, 304089000, 418439000, 410368000]","[691348000, 696165000, 761829000, 780925000]"
17,FUNC,130,,"[1638197000, 1555359000, 1589652000, 1529174000]","[132044000, 132892000, 137078000, 141900000]","[12.406447850716427, 11.703932516630045, 11.59669677118137, 10.776420014094432]","[23541000, 49979000, 149432000, 115720000]","[nan, nan, nan, nan]"
18,GOLD,0.906735751,0.0301,"[2188000000, 2230000000, 2247000000, 2086000000]","[23864000000, 24111000000, 24175000000, 23857000000]","[0.09168622192423735, 0.09248890547882709, 0.09294725956566702, 0.08743764932724148]","[1571000000, 3314000000, 5188000000, 5280000000]","[3978000000, 6887000000, 8143000000, 8249000000]"
19,NTRBW,0.719626168,0.0343,,,,"[474653, 10181, 151993, 4891868]","[590466, 43181, 314188, 5465368]"
20,KTN,,,,,,,
21,0RTE.L,,,"[7025000000, 6640000000, 6173000000, 6327000000]","[2330000000, 1609000000, 1980000000, 1826000000]","[3.015021459227468, 4.126786824114356, 3.117676767676768, 3.4649507119386636]",,
22,SHNWD,,,"[1682900000, 1682900000, 5737400000, 5737400000]","[4206300000, 4206300000, 4285900000, 4285900000]","[0.400090340679457, 0.400090340679457, 1.3386686576915001, 1.3386686576915001]","[3281600000, 3632900000, 4215900000, 5119000000]","[6791000000, 6958500000, 7342900000, 7291200000]"
23,AKLI,,0.0586,"[13140000, 10721000, 7747000, 8041000]","[123872000, -275040000, -250193000, -226114000]","[0.10607724102299147, -0.03897978475858057, -0.030964095718105624, -0.03556170781110413]","[41197000, 18528000]","[42253000, 19155000]"
24,0AA3.L,,,"[197996000, 178267000, 173893000, 163424000]","[177989000, 142950000, 113416000, 96829000]","[1.112405822831748, 1.247058412032179, 1.5332316428017212, 1.6877588325811481]",,
25,ENJ,,,,,,,
26,UBER,,,"[9020000000, 8945000000, 8652000000, 9024000000]","[6247000000, 6661000000, 8916000000, 14458000000]","[1.443893068672963, 1.3428914577390783, 0.9703903095558546, 0.6241527182182874]","[6406000000, 10873000000, 5647000000, 4295000000]","[8658000000, 13925000000, 9882000000, 8819000000]"
27,0HPW.L,0.168350168,,"[991700000, 1313400000, nan, 1087800000]","[1903700000, 1919100000, nan, 1748100000]","[0.5209329201029574, 0.6843833046740659, nan, 0.6222756135232538]",,
28,IONS,,,"[283454000, 267811000, 228450000, 240550000]","[594361000, 624726000, 709574000, 771737000]","[0.47690544971826887, 0.4286855357388679, 0.3219537356216547, 0.3116994520153887]","[278820000, 683287000, 397664000, 869191000]","[2207886000, 2720597000, 2130707000, 2345049000]"
29,LDP,0.466914038,,,,,"[2126976, 189111, 1682916, 271909]","[nan, nan, nan, nan]"
30,VLYPO,,,"[47687114000, 46403222000, 36706994000, 36982924000]","[6064138000, 5995222000, 4886693000, 4874375000]","[7.86379102850232, 7.740033980393053, 7.511622686344324, 7.587213540197461]","[428629000, 434687000, 1329205000, 2049920000]","[nan, nan, nan, nan]"
31,AMH,,0.0573,"[546863000, 477309000, 375288000, 327943000]","[6467174000, 6287195000, 6432728000, 6059417000]","[0.0845598092768186, 0.07591763894709803, 0.05834041171956905, 0.05412121331144564]","[30284000, 37575000, 137060000, 48198000]","[350275000, 395793000, 394026000, 357114000]"
32,MPC,1.119133574,0.023,"[21314000000, 28437000000, 25120000000, 17898000000]","[26304000000, 26306000000, 23972000000, 26206000000]","[0.8102950121654501, 1.0810081350262297, 1.0478892040714167, 0.6829733648782722]","[1687000000, 1527000000, 415000000, 5291000000]","[18023000000, 20170000000, 28287000000, 30496000000]"
33,ETR,-0.190199445,0.020499999,"[6154875000, 5541615000, 5363185000, 6190742000]","[12096351000, 11711079000, 11710103000, 11637284000]","[0.5088208005868877, 0.4731942291568522, 0.4579963984945307, 0.5319748147419965]","[480975000, 425722000, 1759099000, 442559000]","[2958064000, 3045992000, 4559899000, 3623595000]"
34,JUPWW,0.790563433,0.0385,,,,"[161316, 531026, 4262168, 11754558]","[191316, 745789, 4988264, 16279745]"
35,TEAM,,,"[1497681000, 1594056000, 1417290000, 1259801000]","[480613000, 335603000, 302960000, 123625000]","[3.1161891168154003, 4.749826431825698, 4.678142329020333, 10.19050353892821]","[1268441000, 1479969000, 919227000, 1385265000]","[2042111000, 2643786000, 1627506000, 1899254000]"
